id	city	lng	lat
cnl00002340	Au	11.5867	48.1197
cnl00016788	Stájerlakanina	21.8531	45.0917
cnl00002845	Benešov	14.6883	49.7828
cnl00002939	Blasenstein-Sankt-Nikolaus	17.2628	48.4858
cnl00003246	La Rivour	4.0742	48.2972
cnl00016402	Bátyú	22.6339	48.2006
cnl00016537	Ilosva	23.0375	48.3169
cnl00016695	Nyírbátor	22.1297	47.8353
cnl00002501	Güns	2.0581	47.3817
cnl00002825	Athlone	-7.95	53.4331
cnl00003467	Arundel, Sussex	-0.5539	50.8542
cnl00016542	Jászapáti	20.14	47.5133
cnl00000044	Arensdorf	14.2519	52.4256
cnl00000093	Baeza	3.4667	37.9831
cnl00000787	Kutejno	30.3167	54.4667
cnl00002842	Battice	5.8167	50.6331
cnl00002966	Elis	21.5	37.6667
cnl00003564	Montagnana	11.3	46.3331
cnl00003710	Ann Arbor, Mich.	-83.7481	42.2814
cnl00016570	Kisbér	18.0267	47.5014
cnl00003308	Sorèze	2.0669	43.4539
cnl00004356	Schinznach	8.1692	47.45
cnl00016858	Topolya	19.635	45.8089
cnl00001364	Spa	5.8667	50.4831
cnl00003626	Prevesa	7.4331	44.4167
cnl00005038	Westgraftdijk	4.7997	52.5497
cnl00001603	Amakusa	130.1167	32.3997
cnl00000902	Luneray	0.9142	19.8292
cnl00001404	Wolverhampton	2.1331	52.5831
cnl00002849	Berg	9.4075	47.4867
cnl00003606	Bétharram	-0.2081	43.1306
cnl00003747	Bennington, Vt.	-73.2081	42.8908
cnl00005402	Chalons-sur-Sa^one	4.8497	46.7997
cnl00003448	Zabludów	23.3331	53.0167
cnl00005234	Saint-Lô (Le Rocher-de-la-Liberté)	1.0831	49.1167
cnl00005282	Leiderdorp	4.5331	0.35
cnl00005327	Ameland	5.7533	53.4503
cnl00003605	Bègles	-0.5478	44.8083
cnl00000153	Bessastadir	-21.9956	64.1056
cnl00000024	Alvisopoli	12.9192	45.8025
cnl00002004	Mooréa	-149.8331	-17.5331
cnl00003577	Stekelberg-Schloss	9.6203	50.3367
cnl00002899	Ceneda	12.2931	45.9767
cnl00000234	Bulaq	31.2306	30.0531
cnl00017735	Gorgonzola	9.1997	45.46
cnl00002388	Borgo	11.4497	46.0497
cnl00028125	Bonate Sotto	9.72	45.6797
cnl00028797	Montbéliard	6.7997	47.52
cnl00002622	Ostrog	26.5256	50.3283
cnl00001479	Vaucluse	6.6831	47.25
cnl00002451	Écija	5.0792	37.5408
cnl00011034	Lavaur	1.82	43.7
cnl00011340	Louth	-0.02	53.3697
cnl00014334	Stembert	5.9	50.5797
cnl00006580	Nérac	0.35	44.13
cnl00007338	Bergerac	-0.4797	44.85
cnl00011592	Matha	-0.32	45.8697
cnl00013502	Sacramento	-121.4697	38.56
cnl00007714	Brest	-4.29	48.24
cnl00009569	Göttweig	15.6197	48.3597
cnl00014343	Sterzing	11.4297	46.89
cnl00009434	Gex	6.07	46.3297
cnl00009683	Großenhain	13.65	51.28
cnl00006728	Alenquer	-9.0197	39.0
cnl00008157	Châlon-sur-Saône	4.75	46.78
cnl00009161	Fleurus	4.4297	50.4797
cnl00012156	La Neuveville	7.0997	47.07
cnl00008103	Chambéry	5.9	45.6
cnl00013556	Saint-Jean-d'Angély	-0.52	45.95
cnl00014365	Saint-Maixent-l'École	-0.2	46.42
cnl00032939	Frankenberg	13.3378	50.9106
cnl00028108	Verdello	10.0606	46.0139
cnl00020603	Barbuñales	-0.8331	42.0167
cnl00025181	Deensen	9.7167	51.8667
cnl00032944	Sainte Suzanne	55.6056	-20.9039
cnl00022893	Château Landon	2.7	48.1497
cnl00018436	Potosì	-65.75	-19.5831
cnl00020393	Wolczyn	18.0567	51.0181
cnl00019575	Villeneuve de Berg	4.5	44.5497
cnl00006683	Aigues-Mortes	4.1797	43.57
cnl00019608	Menetou-Salon	2.0497	47.2331
cnl00021181	Kibworth-Harcourt	-0.9831	52.5331
cnl00032949	Vila de Cruces	-8.3328	42.7767
cnl00011705	Mikulov	16.64	48.81
cnl00021359	Siètamo	-0.2908	42.1197
cnl00021820	Avilès	-5.9081	43.5558
cnl00021734	Chatillon-Coligny	2.85	47.8331
cnl00023467	Somasca	9.4292	45.8108
cnl00020640	Villacastin	-4.4133	40.7806
cnl00026392	Hiltpolstein	11.3206	49.6597
cnl00032957	Petznick	13.2831	53.1667
cnl00031129	Reudnitz	12.4	51.3331
cnl00021061	Guise	9.1997	45.46
cnl00023531	Shorkot	72.4	30.5
cnl00030681	Brandenburg	12.4197	52.38
cnl00019145	Saint-Hippolyte	2.7667	49.95
cnl00019169	Patan	72.1167	23.8331
cnl00033507	La Ferrière-aux-Etangs	-0.5331	48.6667
cnl00033394	Copșa Mică	24.3	46.1331
cnl00007230	Baza	-2.77	37.4797
cnl00008069	Castellane	6.5197	43.85
cnl00008134	Cefalù	14.0197	38.03
cnl00010967	La Ferrière	-2.6	48.1497
cnl00011871	Monterrey	-7.4197	41.95
cnl00015846	Lantenac	-2.6506	48.1342
cnl00008531	Dautenstein	7.95	48.2997
cnl00008198	Châtellerault	0.53	46.7997
cnl00003552	Nedelišce	16.3831	46.3831
cnl00004845	Rakow	21.0831	50.6831
cnl00016588	Komját	18.1667	48.1497
cnl00016556	Kapuvár	16.3831	47.5831
cnl00000162	Cieza	1.4167	38.2331
cnl00003213	Pocátky	15.2331	49.25
cnl00003342	Tartakow	24.3983	50.4622
cnl00016653	Monyorókerék	16.4667	45.1831
cnl00027751	Isola di Gorgona	9.8989	43.4289
cnl00000633	Irún	1.8	43.3331
cnl00000685	Hugli	88.4	88.4
cnl00000746	Kidderminster	2.25	52.375
cnl00001486	Tschlin	40.8667	46.8667
cnl00001614	Carouge	7.0219	46.1831
cnl00001621	Coucy-le-Château	32.5	49.5167
cnl00001910	Condé-sur-Noireau	0.55	48.85
cnl00002928	Saint-François-Cuburien	3.8481	48.6003
cnl00002934	Carentan	1.25	49.2997
cnl00003043	Jaroslawl	38.3994	57.9503
cnl00003088	Loudéac	2.7539	48.1778
cnl00003127	Mont Saint-Clair	3.0681	43.4014
cnl00003142	Tavistock	50.5497	4.1444
cnl00003216	Pontorson	1.5067	48.5531
cnl00003222	Port-Royal-des-Champs	2.0158	48.7442
